time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),minute_ventilation_adjusted [mL/min](/api/datatype/38/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
421880211106,18,26453.76,29709.60738461539,,0.09765625,89,0
421880211362,18,26453.76,29709.60738461539,,0.0546875,87,0
421880211618,18,26453.76,29709.60738461539,,0.0859375,90,0
421880211874,18,26400.64,29649.949538461537,,0.16015625,95,0
421880212130,18,26400.64,29649.949538461537,,0.1640625,99,0
421880212386,18,26400.64,29649.949538461537,,0.09375,100,0
421880212642,18,26706.079999999998,29992.98215384615,,0.046875,100,0
421880212898,18,26706.079999999998,29992.98215384615,,0.05859375,100,0
421880213154,18,26706.079999999998,29992.98215384615,,0.1015625,101,0
421880213410,18,26706.079999999998,29992.98215384615,,0.08203125,101,0
421880213666,18,25842.879999999997,29023.542153846156,,0.0625,103,0
421880213922,17,25842.879999999997,29023.542153846156,,0.09765625,104,0
421880214178,17,25842.879999999997,29023.542153846156,,0.08984375,103,0
421880214434,17,26759.199999999997,30052.64,,0.06640625,103,0
421880214690,17,26759.199999999997,30052.64,,0.125,101,0
421880214946,18,25139.039999999997,28233.07569230769,,0.09375,101,0
421880215202,19,25139.039999999997,28233.07569230769,,0.0703125,99,0
421880215458,20,25139.039999999997,28233.07569230769,,0.05078125,98,0
421880215714,21,25139.039999999997,28233.07569230769,,0.046875,97,0
421880215970,20,24209.44,27189.063384615383,,0.125,96,0
421880216226,20,24209.44,27189.063384615383,,0.0625,94,0
421880216482,19,24209.44,27189.063384615383,,0.0625,93,0
421880216738,19,26387.359999999997,29635.03507692308,,0.078125,91,0
421880216994,19,26387.359999999997,29635.03507692308,,0.109375,90,0
421880217250,19,26387.359999999997,29635.03507692308,,0.08203125,90,0
421880217506,19,26573.28,29843.83753846154,,0.08203125,90,0
421880217762,19,26573.28,29843.83753846154,,0.08203125,89,0
421880218018,19,26573.28,29843.83753846154,,0.08984375,88,0
421880218274,19,26135.039999999997,29351.66030769231,,0.06640625,88,0
421880218530,18,26135.039999999997,29351.66030769231,,0.09375,89,0
421880218786,18,26135.039999999997,29351.66030769231,,0.10546875,88,0
421880219042,18,28724.64,32259.98030769231,,0.0703125,86,0
421880219298,19,28724.64,32259.98030769231,,0.0703125,84,0
421880219554,19,28724.64,32259.98030769231,,0.09375,83,0
421880219810,19,28724.64,32259.98030769231,,0.07421875,81,0
421880220066,19,26533.44,29799.094153846156,,0.06640625,79,0
421880220322,19,26533.44,29799.094153846156,,0.078125,78,0
421880220578,18,26533.44,29799.094153846156,,0.07421875,75,0
421880220834,18,26533.44,29799.094153846156,,0.08203125,74,0
421880221090,18,25271.84,28382.22030769231,,0.15234375,73,0
421880221346,18,25271.84,28382.22030769231,,0.11328125,73,0
421880221602,18,25271.84,28382.22030769231,,0.11328125,74,0
421880221858,18,25271.84,28382.22030769231,,0.1328125,73,0
421880222114,18,25271.84,28382.22030769231,,0.08984375,74,0
421880222370,18,22602.559999999998,25384.41353846154,,0.109375,74,0
421880222626,17,22602.559999999998,25384.41353846154,,0.1171875,75,0
421880222882,17,22602.559999999998,25384.41353846154,,0.1171875,77,0
421880223138,17,22655.68,25444.071384615385,,0.08984375,78,0
421880223394,17,22655.68,25444.071384615385,,0.08984375,80,0
421880223650,17,22655.68,25444.071384615385,,0.08203125,81,0
421880223906,17,22708.8,25503.729230769233,,0.10546875,82,0
421880224162,17,22708.8,25503.729230769233,,0.08984375,82,0
421880224418,17,22708.8,25503.729230769233,,0.078125,83,0
421880224674,17,23757.92,26681.971692307692,,0.0703125,83,0
421880224930,17,23757.92,26681.971692307692,,0.05859375,82,0
421880225186,17,23757.92,26681.971692307692,,0.0625,81,0
421880225442,17,23757.92,26681.971692307692,,0.08203125,80,0
421880225698,17,22151.039999999997,24877.321846153845,,0.12109375,79,0
421880225954,17,22151.039999999997,24877.321846153845,,0.1015625,78,0
421880226210,17,22151.039999999997,24877.321846153845,,0.08203125,78,0
421880226466,17,21779.2,24459.71692307692,,0.078125,76,0
421880226722,17,21779.2,24459.71692307692,,0.0546875,76,0
421880226978,17,21779.2,24459.71692307692,,0.09375,76,0
421880227234,17,21593.28,24250.914461538465,,0.13671875,76,0
421880227490,17,21593.28,24250.914461538465,,0.0859375,76,0
421880227746,17,21593.28,24250.914461538465,,0.0546875,73,0
421880228002,17,23014.239999999998,25846.761846153844,,0.05859375,73,0
421880228258,18,23014.239999999998,25846.761846153844,,0.125,73,0
421880228514,19,23014.239999999998,25846.761846153844,,0.1875,73,0
421880228770,19,24236.0,27218.89230769231,,0.12890625,75,0
421880229026,19,24236.0,27218.89230769231,,0.2109375,75,0
421880229282,19,24236.0,27218.89230769231,,0.2421875,75,0
421880229538,19,24236.0,27218.89230769231,,0.2265625,79,0
421880229794,19,21168.32,23773.651692307692,,0.30078125,83,0
421880230050,18,21168.32,23773.651692307692,,0.3359375,87,0
421880230306,18,21168.32,23773.651692307692,,0.33984375,93,45
421880230562,18,21832.32,24519.374769230773,,0.375,100,86
421880230818,18,21832.32,24519.374769230773,,0.2578125,108,110
421880231074,18,21832.32,24519.374769230773,,0.1484375,113,115
421880231330,18,29415.199999999997,33035.53230769231,,0.140625,116,94
421880231586,18,29415.199999999997,33035.53230769231,,0.16796875,118,44
421880231842,18,29415.199999999997,33035.53230769231,,0.1484375,118,0
421880232098,19,29415.199999999997,33035.53230769231,,0.171875,118,0
421880232354,19,29415.199999999997,33035.53230769231,,0.1484375,119,0
421880232610,18,28485.6,31991.52,,0.19140625,119,0
421880232866,18,28485.6,31991.52,,0.19140625,119,0
421880233122,18,28485.6,31991.52,,0.17578125,119,0
421880233378,17,28485.6,31991.52,,0.171875,119,0
421880233634,17,29176.16,32767.072000000004,,0.1875,120,0
421880233890,17,29176.16,32767.072000000004,,0.171875,121,0
421880234146,17,29176.16,32767.072000000004,,0.16796875,122,0
421880234402,17,32562.559999999998,36570.25969230769,,0.17578125,123,0
421880234658,17,32562.559999999998,36570.25969230769,,0.1796875,123,0
421880234914,17,33903.84,38076.620307692305,,0.18359375,124,0
421880235170,17,33903.84,38076.620307692305,,0.16796875,124,0
421880235426,18,40729.759999999995,45742.653538461534,,0.1796875,125,0
421880235682,19,40729.759999999995,45742.653538461534,,0.19140625,125,0
421880235938,20,42217.119999999995,47413.07323076923,,0.16796875,126,0
421880236194,20,42217.119999999995,47413.07323076923,,0.16796875,126,0
421880236450,20,37356.64,41954.38030769231,,0.18359375,127,0
421880236706,21,37356.64,41954.38030769231,,0.1640625,128,0
421880236962,22,45377.759999999995,50962.71507692308,,0.140625,129,0
421880237218,24,51539.68,57883.025230769235,,0.15234375,129,0
421880237474,27,51539.68,57883.025230769235,,0.1953125,130,0
421880237730,30,53159.84,59702.58953846154,,0.1640625,131,0
421880237986,31,53159.84,59702.58953846154,,0.16796875,132,0
421880238242,32,52774.719999999994,59270.07015384616,,0.171875,132,0
421880238498,32,52774.719999999994,59270.07015384616,,0.1640625,133,0
421880238754,32,52774.719999999994,59270.07015384616,,0.19921875,134,0
421880239010,32,49999.2,56152.94769230769,,0.1796875,135,0
421880239266,31,51048.32,57331.19015384615,,0.19921875,135,0
421880239522,31,51048.32,57331.19015384615,,0.13671875,136,0
421880239778,31,51048.32,57331.19015384615,,0.1875,137,0
421880240034,31,52150.56,58569.090461538464,,0.19140625,138,0
421880240290,31,52150.56,58569.090461538464,,0.2109375,138,0
421880240546,30,51884.96,58270.801230769226,,0.1953125,138,0
421880240802,30,51884.96,58270.801230769226,,0.16015625,139,0
421880241058,29,53359.04,59926.306461538465,,0.19921875,139,0
